Transaction Date,Amount,Description
2024-05-01,-8.99,Peacock Streaming
2024-05-03,-44.32,SUNOCO GAS STATION #1234
2024-05-05,-142.67,WEGMANS GROCERY STORE
2024-05-08,-200.00,MARC T RILEY PT
2024-05-10,-78.50,TARGET STORE #5678
2024-05-12,-15.99,Disney Plus
2024-05-15,-250.00,ELMIRA WATER BOARD
2024-05-18,-55.00,CHEWY.COM PET SUPPLIES
2024-05-20,-42.89,SUNOCO GAS STATION #1234
2024-05-22,-165.00,CORNING SULLIVAN PARK
2024-05-25,-75.00,CASELLA WASTE MANAGEMENT
2024-05-28,-89.99,AMAZON MARKETPLACE
2024-06-01,-15.99,PARAMOUNT+ STREAMING
2024-06-03,-38.50,SUNOCO GAS STATION #1234
2024-06-05,-198.45,COSTCO WHOLESALE
2024-06-08,-125.00,VETERINARY CLINIC
2024-06-10,-14.99,Audible Subscription
2024-06-12,-145.67,WEGMANS GROCERY STORE
2024-06-15,-85.00,EMPIRE TELEPHONE
2024-06-18,-95.50,TARGET STORE #5678
2024-06-20,-41.25,SUNOCO GAS STATION #1234
2024-06-22,-175.00,HOME DEPOT
2024-06-25,-12.99,Spotify Premium
2024-06-28,-65.00,YMCA Rochester Membership
2024-07-01,-15.99,Netflix Subscription
2024-07-03,-43.75,SUNOCO GAS STATION #1234
2024-07-05,-156.89,WEGMANS GROCERY STORE
2024-07-08,-350.00,SKI COMPANY SEASON PASS
2024-07-10,-89.99,AMAZON MARKETPLACE
2024-07-12,-25.00,EZPASS TOLL
2024-07-15,-185.50,COSTCO WHOLESALE
2024-07-18,-8.99,HULUPLUS STREAMING
2024-07-20,-39.50,SUNOCO GAS STATION #1234
2024-07-22,-125.00,GOODYEAR AUTO SERVICE
2024-07-25,-14.99,MAX.COM STREAMING
2024-07-28,-95.00,PETCO PET SUPPLIES
2024-08-01,-15.99,Disney Plus
2024-08-03,-42.32,SUNOCO GAS STATION #1234
2024-08-05,-167.45,WEGMANS GROCERY STORE
2024-08-08,-150.00,MICHAEL R RIZZONE MD
2024-08-10,-135.78,TARGET STORE #5678
2024-08-12,-85.00,CONFLUENCE RUNNING STORE
2024-08-15,-250.00,ELMIRA WATER BOARD
2024-08-18,-45.00,HAPPY TAILS DOG GROOMING
2024-08-20,-38.89,SUNOCO GAS STATION #1234
2024-08-22,-215.00,COSTCO WHOLESALE
2024-08-25,-75.00,CASELLA WASTE MANAGEMENT
2024-08-28,-12.99,Spotify Premium
2024-09-01,-15.99,PARAMOUNT+ STREAMING
2024-09-03,-41.50,SUNOCO GAS STATION #1234
2024-09-05,-145.67,WEGMANS GROCERY STORE
2024-09-08,-65.00,YMCA Rochester Membership
2024-09-10,-89.99,AMAZON MARKETPLACE
2024-09-12,-25.00,E-Z*PASSNY TOLL
2024-09-15,-185.00,LOWES HOME IMPROVEMENT
2024-09-18,-14.99,Audible Subscription
2024-09-20,-44.75,SUNOCO GAS STATION #1234
2024-09-22,-125.50,TARGET STORE #5678
2024-09-25,-85.00,EMPIRE TELEPHONE
2024-09-28,-59.99,STEAMGAMES PURCHASE
2024-10-01,-15.99,Netflix Subscription
2024-10-03,-39.32,SUNOCO GAS STATION #1234
2024-10-05,-178.89,WEGMANS GROCERY STORE
2024-10-08,-95.00,CHEWY.COM PET SUPPLIES
2024-10-10,-8.99,Peacock Streaming
2024-10-12,-245.00,COSTCO WHOLESALE
2024-10-15,-125.00,VETERINARY CLINIC
2024-10-18,-12.99,Spotify Premium
2024-10-20,-42.50,SUNOCO GAS STATION #1234
2024-10-22,-165.00,HOME DEPOT
2024-10-25,-14.99,MAX.COM STREAMING
2024-10-28,-89.99,AMAZON MARKETPLACE
2024-11-01,-15.99,Disney Plus
2024-11-03,-38.75,SUNOCO GAS STATION #1234
2024-11-05,-156.45,WEGMANS GROCERY STORE
2024-11-08,-150.00,Schweiger Dermatology
2024-11-10,-135.67,TARGET STORE #5678
2024-11-12,-25.00,EZPASS TOLL
2024-11-15,-250.00,ELMIRA WATER BOARD
2024-11-18,-85.00,CONFLUENCE RUNNING STORE
2024-11-20,-41.89,SUNOCO GAS STATION #1234
2024-11-22,-225.00,COSTCO WHOLESALE
2024-11-25,-75.00,CASELLA WASTE MANAGEMENT
2024-11-28,-65.00,YMCA Rochester Membership
2024-12-01,-15.99,PARAMOUNT+ STREAMING
2024-12-03,-43.25,SUNOCO GAS STATION #1234
2024-12-05,-167.89,WEGMANS GROCERY STORE
2024-12-08,-200.00,MARC T RILEY PT
2024-12-10,-89.99,AMAZON MARKETPLACE
2024-12-12,-14.99,Audible Subscription
2024-12-15,-185.50,LOWES HOME IMPROVEMENT
2024-12-18,-95.00,PETCO PET SUPPLIES
2024-12-20,-39.50,SUNOCO GAS STATION #1234
2024-12-22,-145.78,TARGET STORE #5678
2024-12-25,-85.00,EMPIRE TELEPHONE
2024-12-28,-12.99,Spotify Premium
